# Multipole Expansion Model for Optical Coupling Strength
# 
# Parameters:
# a = 300 nm (Major axis)
# b = 180 nm (Minor axis)
# lambda = 1064 nm (Wavelength)
# V = 0.04 ×10⁻¹⁸ m³ (Volume)
# rho = 3500 kg/m³ (Density)
# I = 3.49e-30 kg·m² (Moment of inertia)
# L1 = 0.210 (Depolarization factor, major axis)
# L2 = 0.395 (Depolarization factor, minor axis)
# epsilon_r = 5.7 (Relative permittivity)
# C1 = 0.033 (Multipole expansion coefficient, 1st order)
# C2 = 0.012 (Multipole expansion coefficient, 2nd order)
#
# Columns:
# R_lambda: Distance between particles in units of wavelength (dimensionless)
# g_*mW_kHz: Coupling strength at different laser powers (in kHz)
#
# Note: Data generated for Fig. 1 in manuscript
R_lambda,g_600mW_kHz,g_800mW_kHz,g_1000mW_kHz
0.8499999999999969,89.93254031230244,103.84515271642935,116.10241030389152
0.8519999999999969,90.73467482052905,104.77137786493118,117.13796150115152
0.8539999999999969,91.52010913783091,105.67831929398122,118.1519528446348
0.8559999999999969,92.28880223049933,106.56592962193385,119.14433136005127
0.8579999999999969,93.04071533288467,107.4341640860726,120.11504700116248
0.8599999999999968,93.77581194717224,108.28298054235123,121.06405264949224
0.8619999999999968,94.494057842862,109.11233946479291,121.99130411365502
0.8639999999999968,95.19542105595464,109.92220394455036,122.8967601283051
0.8659999999999968,95.87987188784294,110.71253968862588,123.78038235270549
0.8679999999999967,96.54738290391138,111.48331501825419,124.64213536891982
0.8699999999999967,97.19792893184267,112.23450086694695,125.48198667962625
0.8719999999999967,97.83148705963325,112.96607077820133,126.29990670555537
0.8739999999999967,98.44803663331815,113.67800090287272,127.09586878255298
0.8759999999999967,99.04755925440585,114.37026999621324,127.86984915826875
0.8779999999999966,99.63003877702512,115.04285941457657,128.62182698847252
0.8799999999999966,100.19546130478356,115.69575311179105,129.35178433299888
0.8819999999999966,100.7438151873389,116.32893763520002,130.05970615132048
0.8839999999999966,101.27509101668511,116.94240212137399,130.74558029775395
0.8859999999999966,101.7892816231535,117.53613829149258,131.40939751629674
0.8879999999999965,102.28638207112976,118.11014044639936,132.05115143509818
0.8899999999999965,102.7663896544886,118.66440546132992,132.6708385605655
0.8919999999999965,103.22930389174681,119.19893278031539,133.26845827110665
0.8939999999999965,103.67512652093625,119.71372441026209,133.844012810511
0.8959999999999965,104.10386149419682,120.20878491470806,134.39750728096934
0.8979999999999964,104.51551497209256,120.68412140726,134.92894963573548
0.8999999999999962,104.91009531765033,121.13974354470943,135.43835067143084
0.9019999999999964,105.28761309012351,121.57566351983195,135.92572401999288
0.9039999999999965,105.64808103848146,121.99189605386931,136.39108614027012
0.9059999999999964,105.99151409462605,122.38845838869672,136.8344563092651
0.9079999999999961,106.31792936633755,122.76537027867721,137.25585661302733
0.9099999999999963,106.62734612994997,123.12265398220404,137.65531193719673
0.9119999999999964,106.91978582275819,123.46033425293315,138.0328499572021
0.9139999999999963,107.19527203515814,123.77843833070743,138.38850112811372
0.9159999999999962,107.45383050252158,124.07699593217453,138.7222986741536
0.9179999999999962,107.69548909680701,124.35603924109982,139.03427857786534
0.9199999999999963,107.92027781790755,124.61560289837622,139.3244795689446
0.9219999999999962,108.12822878473958,124.85572399173365,139.59294311273393
0.923999999999996,108.31937622607033,125.07644204514808,139.83971339838203
0.925999999999996,108.49375647108998,125.27779900795498,140.06483732667158
0.9279999999999962,108.65140793972633,125.45983924366568,140.26836449751613
0.929999999999996,108.7923711327066,125.62260951849166,140.4503471971298
0.9319999999999959,108.91668862136648,125.76615898957715,140.61084038487041
0.9339999999999961,109.02440503720861,125.89053919294234,140.74990167976034
0.9359999999999961,109.11556706121239,125.99580403113924,140.86759134668475
